Year;Bird_ID;GLS_ID;Sex;Date;Nest;Nest_content;Capture_method;Headbill;Culmen;Wing;Right_tarsus;Mass;Index_body_condition;Muscle_Pectoral;Score_Personal;Long_Egg;Long_Egg_cm;Larg_Egg;Larg_Egg_cm;Vol_egg;Arrival_date;Arrival_date_num;Arrival_date_propre;Arrival_date_propre_num;date_enter_nest;date_enter_nest_num;Hatch_date;Hatch_date_num;weigh_hatching;Hatching_success;Chick_mass_gain_(g/d)_1st_15d;pente_chick_growth_1-15d;N_SIA_Blood;N_SIA_head_Feather;C_SIA_Blood;C_SIA_head_Feather;Chick_sex;Cortico;Hg_HF;Hg_blood;Season_Hg_Blood;Hg_BF;BF_side;Long_Median_15Oct_20Fev;Lat_Median_15Oct_20Fev;Long_Median_DecJan;Lat_Median_DecJan;Long_Median_Dec_20Fev;Lat_Median_Dec_20Fev;d_PL_15Oct_20Fev;d_PL_DecJan;d_PL_1Dec_20Fev;Max_d_col__Dec_Jan;Max_d_col__15Oct_20Fev;PL_Lat;PL_Long
2010;LIAK10EG12;3506;F;11-juil;M2;E;Nest;51,53;12,74;118;23,6;150,00;-5,175827;1,29;NA;49,12;4,91;32,80;3,28;26,95108301;02/06/2010;152;09/06/2010;159;NA;NA;15/07/2010;195;NA;Y;6,073;6,939;11,428;11,72;-21,415;-19,361;NA;16,9;3,13719;0,68939;breeding;1,38873;ventral;34,99344426;50,53459249;37,66533067;47,99272273;35,8410589;48,36348648;1068,638402;816,338586;955,4316343;4234,0313;4234,0313;46,67115085;48,32996393
2010;LIAK10EG35;3597;F;14-juil;NA;NA;Lasso;53,71;14,39;119;22,19;155,00;-1,695129;0,99;2,00;NA;NA;NA;NA;NA;25/06/2010;175;25/06/2010;175;26/06/2010;176;NA;NA;NA;Unk;NA;NA;11,567;12,46;-20,926;-16,469;NA;9,7;3,24384;0,95481;breeding;1,65412;dorsal;50,65103136;40,73094754;51,57779003;40,34284485;51,02458154;39,96598951;686,2822972;750,6668795;776,6645009;5467,68766;5835,94326;NA;NA
2010;LIAK10EG32;3600;F;13-juil;M7;E;Nest;50,3;13,83;121;20,12;140,00;-6,038971;0,9;1,00;44,20;4,42;30,34;3,03;20,75026266;NA;NA;NA;NA;NA;NA;NA;NA;NA;Y;NA;NA;11,515;11,07;-20,819;-18,719;NA;11,9;3,40958;0,64367;breeding;1,13745;ventral;49,23074897;51,75978452;NA;NA;NA;NA;569,5879807;NA;NA;NA;4800,82814;NA;NA
2010;LIAK10EG05;3603;F;11-juil;M42;E;Nest;51,33;13,95;120;21,5;154,00;3,15593;1,37;2,50;46,09;4,61;32,95;3,30;25,52041439;NA;NA;NA;NA;NA;NA;NA;NA;NA;N;NA;NA;11,311;12,16;-20,966;-17,315;NA;17,5;NA;0,73074;breeding;0,78142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;LIAK10EG23;3604;M;12-juil;M49;E;Nest;54,07;15,34;119;23;168,00;8,657791;1,28;1,00;44,84;4,48;33,53;3,35;25,71004797;12/06/2010;162;15/06/2010;165;19/06/2010;169;16/07/2010;196;NA;Y;5,927;6,11;11,399;12,69;-20,960;-16,417;NA;16,1;2,8224;0,93239;breeding;1,25591;dorsal;57,92436347;41,11074804;58,58704284;40,95852102;58,40848047;40,72931733;985,3790289;1038,185445;1044,011251;5675,135423;6027,432746;NA;NA
2010;LIAK10EG29;3607;F;12-juil;M22;E;Nest;51,52;14,24;121;22,19;159,00;5,598526;0,84;4,00;47,76;4,78;33,49;3,35;27,31899944;05/06/2010;155;05/06/2010;155;17/06/2010;167;20/07/2010;200;NA;Y;NA;NA;11,570;13,31;-20,860;-16,501;NA;5;1,52919;0,86267;breeding;2,41229;dorsal;60,65385358;42,85517978;61,37636526;42,40406978;61,4843999;41,93732248;1059,974847;1135,852943;1169,636611;5805,752143;5983,148815;NA;NA
2010;LIAK10EG31;3611;F;13-juil;M30;E;Nest;51,36;14,12;120;21,35;153,00;2,453522;1,24;0,50;45,78;4,58;32,34;3,23;24,41889433;10/06/2010;160;11/06/2010;161;18/06/2010;168;NA;NA;NA;N;NA;NA;11,438;9,57;-20,940;-18,097;NA;6,1;NA;0,57839;breeding;0,82662;dorsal;47,45085043;42,17050823;47,28300242;42,21903699;47,41074454;41,74528029;505,2855184;501,9671636;552,5988098;5392,752687;5403,999034;NA;NA
2010;LIAK10EG28;3613;M;12-juil;NA;NA;Lasso;49,6;13,51;120;21,78;133,00;-15,06415;0,98;1,50;NA;NA;NA;NA;NA;05/06/2010;155;07/06/2010;157;17/06/2010;167;NA;NA;NA;Unk;NA;NA;11,691;9,95;-21,206;-18,097;NA;11;3,48928;0,77774;breeding;3,48334;dorsal;42,60510367;48,54673429;42,24311229;47,18898322;42,73668126;47,28617286;476,9945224;465,6495237;429,7121682;4625,730918;4625,730918;NA;NA
2010;LIAK10EG49;3614;F;17-juil;NA;C;Nest;53,81;14,72;120;20,89;157,00;2,667862;1,45;2,00;NA;NA;NA;NA;NA;05/06/2010;155;05/06/2010;155;17/06/2010;167;NA;NA;NA;Unk;NA;NA;11,657;9,62;-21,558;-17,622;NA;11,7;3,2221;0,73913;breeding;2,64061;ventral;43,14029751;48,39614524;42,88604408;47,35106834;42,91100466;47,57250355;434,1401548;419,5271065;421,9816855;4498,273668;4498,273668;NA;NA
2010;LIAK10EG19;3617;M;12-juil;M10;E;Nest;53,55;14,31;120;20,97;154,00;-0,004684448;1,26;2,50;49,35;4,94;32,68;3,27;26,87951503;07/06/2010;157;07/06/2010;157;19/06/2010;169;17/07/2010;197;NA;Y;6,255;5,981;11,358;12,58;-20,922;-16,790;NA;11,8;3,24056;1,09363;breeding;0,90753;ventral;58,65867542;42,9602564;60,78332861;41,90928396;61,56132046;41,43853033;912,2618963;1121,969464;1204,647542;5896,830179;5896,830179;NA;NA
